province,province_id,district,district_id,ward,ward_id,ward_level,area,pop_density,population,children_0_14,female_15_54,male_15_59,elders,no_household,no_household_w_home
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Phúc Xá,00001,Phường, 0.9 , 24.6 ," 21,946 "," 1,238 "," 7,796 "," 8,321 "," 4,591 "," 5,863 ",5855
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Trúc Bạch,00004,Phường, 0.5 , 14.0 ," 7,065 ", 320 ," 2,301 "," 2,475 "," 1,969 "," 1,948 ",1948
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Vĩnh Phúc,00006,Phường, 0.7 , 33.4 ," 23,867 "," 1,486 "," 8,557 "," 8,997 "," 4,827 "," 6,314 ",6298
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Cống Vị,00007,Phường, 0.5 , 29.7 ," 15,979 ", 856 ," 5,577 "," 5,983 "," 3,563 "," 4,357 ",4349
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Liễu Giai,00008,Phường, 0.7 , 31.0 ," 21,084 "," 1,153 "," 7,400 "," 7,819 "," 4,712 "," 5,639 ",5637
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Nguyễn Trung Trực,00010,Phường, 0.2 , 47.7 ," 7,705 ", 377 ," 2,651 "," 2,661 "," 2,016 "," 2,127 ",2127
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Quán Thánh,00013,Phường, 0.8 , 10.2 ," 7,923 ", 351 ," 2,404 "," 2,918 "," 2,250 "," 2,078 ",2076
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Ngọc Hà,00016,Phường, 0.8 , 23.5 ," 19,357 ", 944 ," 6,784 "," 7,129 "," 4,500 "," 5,257 ",5214
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Điện Biên,00019,Phường, 0.9 , 9.5 ," 8,912 ", 416 ," 2,907 "," 3,097 "," 2,492 "," 2,463 ",2458
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Đội Cấn,00022,Phường, 0.4 , 35.5 ," 14,375 ", 714 ," 4,939 "," 5,091 "," 3,631 "," 3,812 ",3806
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Ngọc Khánh,00025,Phường, 1.0 , 20.0 ," 20,363 "," 1,101 "," 7,384 "," 7,398 "," 4,480 "," 5,847 ",5839
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Kim Mã,00028,Phường, 0.5 , 29.3 ," 14,259 ", 694 ," 5,039 "," 5,142 "," 3,384 "," 4,029 ",4018
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Giảng Võ,00031,Phường, 0.6 , 28.5 ," 17,665 ", 829 ," 6,440 "," 6,609 "," 3,787 "," 5,183 ",5182
Thành phố Hà Nội,01,Quận Ba Đình,001,Phường Thành Công,00034,Phường, 0.6 , 33.3 ," 21,393 "," 1,145 "," 7,898 "," 7,862 "," 4,488 "," 6,342 ",6323
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Phúc Tân,00037,Phường, 0.8 , 22.2 ," 16,856 "," 3,331 "," 4,966 "," 5,531 "," 3,028 "," 4,638 ",4628
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Đồng Xuân,00040,Phường, 0.2 , 55.3 ," 9,399 "," 1,639 "," 2,735 "," 2,774 "," 2,251 "," 2,402 ",2400
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Mã,00043,Phường, 0.2 , 46.5 ," 6,971 "," 1,195 "," 1,836 "," 1,962 "," 1,978 "," 1,836 ",1834
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Buồm,00046,Phường, 0.1 , 41.3 ," 5,367 ", 895 ," 1,400 "," 1,577 "," 1,495 "," 1,531 ",1529
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Đào,00049,Phường, 0.1 , 77.0 ," 5,393 ", 863 ," 1,499 "," 1,530 "," 1,501 "," 1,553 ",1553
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Bồ,00052,Phường, 0.1 , 58.3 ," 5,243 ", 916 ," 1,447 "," 1,444 "," 1,436 "," 1,480 ",1476
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Cửa Đông,00055,Phường, 0.1 , 44.1 ," 6,170 "," 1,002 "," 1,668 "," 1,823 "," 1,677 "," 1,802 ",1799
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Lý Thái Tổ,00058,Phường, 0.2 , 22.4 ," 5,152 ", 950 ," 1,410 "," 1,492 "," 1,300 "," 1,391 ",1389
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Bạc,00061,Phường, 0.1 , 57.7 ," 5,194 ", 776 ," 1,458 "," 1,608 "," 1,352 "," 1,372 ",1346
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Gai,00064,Phường, 0.1 , 64.3 ," 5,787 ", 979 ," 1,584 "," 1,636 "," 1,588 "," 1,587 ",1586
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Chương Dương,00067,Phường, 1.0 , 22.6 ," 22,946 "," 4,547 "," 6,669 "," 7,048 "," 4,682 "," 6,554 ",6518
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Trống,00070,Phường, 0.4 , 15.8 ," 5,524 ", 967 ," 1,464 "," 1,589 "," 1,504 "," 1,397 ",1393
